
THERMOK with O2(aq)          switched with H2(aq)         


THERMOK with SO3--           switched with SO4--


THERMOK with SO4--           switched with SO3--


THERMOK with S2O3--          switched with SO4--


THERMOK with SO4--           switched with S2O3--


THERMOK with S2O4--          switched with SO4--


THERMOK with SO4--           switched with S2O4--


THERMOK with HS-             switched with SO4--


THERMOK with SO4--           switched with HS-


THERMOK with Fe+++           switched with Fe++


THERMOK with Fe++            switched with Fe+++

 File format and data suitable for TOUGHREACT V2.3+ (YMP)
 May needs component switching to avoid overdefinitions


!end-of-header     Do not remove this record!
'Temperature points:'   8    0.01   25.00   60.00  100.00  150.00  200.00  250.00  300.00
'IO-'                             0.61247480E+01   -0.30375120E+02   -0.10122281E-01    0.14121049E+05   -0.16789543E+06
'IO3-'                            174.903  1.81 -1.00    3   1.0000 'I-'  3.0000 'H2O'  -3.0000 'H2(aq)'
'IO3-'                               131.3753  120.5336  107.9122   96.2013   84.4598   74.9997   67.1610   60.4726
'IO3-'                            0.63364490E+02   -0.39954346E+03   -0.71602366E-01    0.59491084E+05   -0.17005568E+07
'IO4-'                            190.902  1.81 -1.00    3   1.0000 'I-'  4.0000 'H2O'  -4.0000 'H2(aq)'
'IO4-'                               193.7650  177.3237  158.1933  140.4579  122.6951  108.3983   96.5605   86.4606
'IO4-'                            0.10742006E+03   -0.68448731E+03   -0.11746814E+00    0.94332124E+05   -0.28079329E+07
'La++'                            138.910  2.80  2.00    3  -1.0000 'H+'  1.0000 'La+++'  0.5000 'H2(aq)'
'La++'                                68.2801   61.7202   54.1800   47.2865   40.4861   35.0960   30.6990   27.0253
'La++'                            0.21321937E+02   -0.14337403E+03   -0.22860298E-01    0.28207266E+05   -0.37169899E+06
'Lu++++'                          174.970  4.50  4.00    3   1.0000 'H+'  1.0000 'Lu+++'  -0.5000 'H2(aq)'
'Lu++++'                             150.0062  138.1701  124.4661  111.8477   99.3332   89.4005   81.3356   74.6593
'Lu++++'                         -0.85417570E+01    0.56571815E+02    0.87038280E-02    0.39182315E+05   -0.33311441E+06
'Mn+++'                            54.938  3.60  3.00    3   1.0000 'H+'  1.0000 'Mn++'  -0.5000 'H2(aq)'
'Mn+++'                               28.5052   27.0466   25.3739   23.8479   22.3579   21.2083   20.3156   19.6170
'Mn+++'                          -0.17906980E+02    0.12198885E+03    0.20100783E-01   -0.54701550E+03    0.26019115E+06
'MnO4--'                          118.936  3.00 -2.00    4  -4.0000 'H+'  1.0000 'Mn++'  4.0000 'H2O'  -2.0000 'H2(aq)'
'MnO4--'                             135.7615  124.4717  111.6358  100.0447   88.7979   80.0953   73.2414   67.8480
'MnO4--'                         -0.12824049E+03    0.81590002E+03    0.12950255E+00   -0.95238830E+04    0.28944382E+07
'MnO4-'                           118.936  1.81 -1.00    4  -3.0000 'H+'  1.0000 'Mn++'  4.0000 'H2O'  -2.5000 'H2(aq)'
'MnO4-'                              148.3611  135.3922  120.4389  106.7237   93.1570   82.3903   73.6157   66.3025
'MnO4-'                           0.23476364E+02   -0.15536559E+03   -0.25931285E-01    0.51189183E+05   -0.61857920E+06
'N2(aq)'                           28.013  0.00  0.00    2   2.0000 'NH3(aq)'  -3.0000 'H2(aq)'
'N2(aq)'                              23.8783   21.7724   19.0248   16.2206   13.1497   10.4563    8.0371    5.7768
'N2(aq)'                          0.10517473E+03   -0.68050930E+03   -0.10639908E+00    0.51153997E+05   -0.32721198E+07
'NO2-'                             46.006  1.81 -1.00    4  -1.0000 'H+'  2.0000 'H2O'  1.0000 'NH3(aq)'  -3.0000 'H2(aq)'
'NO2-'                                99.9041   91.3554   81.4390   72.2915   63.2010   55.9726   50.0999   45.2640
'NO2-'                           -0.33334356E+02    0.20581911E+03    0.30367640E-01    0.18850411E+05    0.28276410E+06
'NO3-'                             62.005  2.81 -1.00    4  -1.0000 'H+'  3.0000 'H2O'  1.0000 'NH3(aq)'  -4.0000 'H2(aq)'
'NO3-'                               133.5919  122.1921  108.9369   96.6742   84.4427   74.6679   66.6708   60.0049
'NO3-'                           -0.75259680E+01    0.41039550E+02    0.25473700E-02    0.38160702E+05   -0.41956070E+06
'Nd++'                            144.240  2.80  2.00    3  -1.0000 'H+'  1.0000 'Nd+++'  0.5000 'H2(aq)'
'Nd++'                                47.4777   42.7353   37.2674   32.2532   27.2877   23.3319   20.0840   17.3505
'Nd++'                            0.23056174E+02   -0.15375021E+03   -0.25049721E-01    0.23152442E+05   -0.45021016E+06
'Nd++++'                          144.240  4.50  4.00    3   1.0000 'H+'  1.0000 'Nd+++'  -0.5000 'H2(aq)'
'Nd++++'                              91.6603   84.8073   76.7927   69.3426   61.8871   55.9225   51.0510   46.9993
'Nd++++'                         -0.55879910E+01    0.37478165E+02    0.56870600E-02    0.24832062E+05   -0.51700746E+06
'H2O2(aq)'                         34.015  0.00  0.00    2   2.0000 'H2O'  -1.0000 'H2(aq)'
'H2O2(aq)'                            68.7106   62.6903   55.7489   49.3778   43.0690   38.0542   33.9541   30.5003
'H2O2(aq)'                        0.33460804E+02   -0.21580645E+03   -0.33523872E-01    0.31691083E+05   -0.75064476E+06
'PH3(aq)'                          33.998  0.00  0.00    4   1.0000 'H+'  1.0000 'H2PO4-'  -4.0000 'H2O'  4.0000 'H2(aq)'
'PH3(aq)'                             27.8441   25.1730   22.1766   19.5143   16.9690   15.0107   13.4440   12.1324
'PH3(aq)'                         0.43028748E+02   -0.27610824E+03   -0.38212660E-01    0.22208074E+05   -0.61965150E+06
'H2PO2-'                           64.989  1.81 -1.00    3   1.0000 'H2PO4-'  -2.0000 'H2O'  2.0000 'H2(aq)'
'H2PO2-'                              22.3315   20.2779   18.0202   16.0582   14.2397   12.9079   11.9261   11.2308
'H2PO2-'                         -0.42077432E+02    0.26662026E+03    0.44280608E-01   -0.97601020E+04    0.11493457E+07
'H2PO3-'                           80.988  1.81 -1.00    3   1.0000 'H2PO4-'  -1.0000 'H2O'  1.0000 'H2(aq)'
'H2PO3-'                               7.1263    6.2918    5.3552    4.5235    3.7317    3.1310    2.6668    2.3129
'H2PO3-'                         -0.10238370E+02    0.62484220E+02    0.10781974E-01   -0.12370060E+04    0.27336076E+06
'Pm++'                            144.913  2.80  2.00    3  -1.0000 'H+'  1.0000 'Pm+++'  0.5000 'H2(aq)'
'Pm++'                                51.3786   46.3272   40.5005   35.1549   29.8588   25.6375   22.1705   19.2529
'Pm++'                            0.23200557E+02   -0.15429742E+03   -0.25558675E-01    0.24210579E+05   -0.45741161E+06
'Pm++++'                          144.913  4.50  4.00    3   1.0000 'H+'  1.0000 'Pm+++'  -0.5000 'H2(aq)'
'Pm++++'                              99.8103   92.2840   83.4941   75.3334   67.1751   60.6524   55.3255   50.8944
'Pm++++'                         -0.51689700E+01    0.35169265E+02    0.49119130E-02    0.27128569E+05   -0.52351853E+06
'Pr++'                            140.907  2.80  2.00    3  -1.0000 'H+'  1.0000 'Pr+++'  0.5000 'H2(aq)'
